quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
1	dinov2_base	DINOv2	0.9154767644719832	0.04514677207851301	17.5	8	3	hidden_state_003	0.7554465948480465	8	0	1.0	True	3.0	hidden_state_003	11754021888.0	224.0	224.0	3.0	hidden_state_003	index	46322454528.0	14.0	0.2537435031836489	0.7462564968163511	11.754021888	46.322454528	True
2	clip_vit_l14	CLIP	0.9067682023262152	0.1034494059687417	19.5	8	20	hidden_state_020	0.8082714998957643	8	0	1.0	True	20.0	hidden_state_020	135071350784.0	224.0	224.0	20.0	hidden_state_020	index	162025537536.0	28.0	0.8336423556316785	0.16635764436832146	135.071350784	162.025537536	True
3	vit_tiny	ViT	0.9043016547921353	0.057438339443530544	17.375	8	3	block_003	0.6674072962239005	8	0	1.0	True	3.0	block_003	874195968.0	224.0	224.0	3.0	block_003	index	2506982400.0	13.0	0.3487044695646846	0.6512955304353154	0.874195968	2.5069824	True
4	clip_vit_l14_336	CLIP	0.9022962637398646	0.150262436656985	18.25	8	20	hidden_state_020	0.8175868058682388	8	0	1.0	True	20.0	hidden_state_020	318380785664.0	336.0	336.0	20.0	hidden_state_020	index	381919789056.0	28.0	0.8336325971768815	0.16636740282311846	318.380785664	381.919789056	True
5	clip_vit_b16	CLIP	0.894289678405322	0.074824504928108	21.375	8	10	hidden_state_010	0.6612526999621674	8	0	1.0	True	10.0	hidden_state_010	29310302208.0	224.0	224.0	10.0	hidden_state_010	index	35126906880.0	16.0	0.8344117034878534	0.16558829651214657	29.310302208	35.12690688	True
6	siglip_so400m	SigLIP	0.8926659556929271	0.12312749626866257	20.375	8	12	hidden_state_012	0.7022399486127988	8	1	1.0	True	12.0	hidden_state_012	300646172160.0	384.0	384.0	12.0	hidden_state_012	index	670346449920.0	30.0	0.4484937187269053	0.5515062812730946	300.64617216	670.34644992	True
7	dinov2_small	DINOv2	0.8870023924707692	0.09150601690854825	22.0	8	4	hidden_state_004	0.7530717932928175	8	0	1.0	True	4.0	hidden_state_004	4159444992.0	224.0	224.0	4.0	hidden_state_004	index	12247123968.0	14.0	0.3396262667764318	0.6603737332235682	4.159444992	12.247123968	True
8	clip_vit_b32	CLIP	0.8859866115307615	0.08112744742895318	23.625	8	10	hidden_state_010	0.704819169473546	8	0	1.0	True	10.0	hidden_state_010	7385899008.0	224.0	224.0	10.0	hidden_state_010	index	8817623040.0	16.0	0.8376292538811003	0.16237074611889968	7.385899008	8.81762304	True
9	dinov2_giant	DINOv2	0.8828245303712033	0.06415927543059162	23.75	8	30	hidden_state_030	0.70110364944183	8	0	1.0	True	30.0	hidden_state_030	449200705536.0	224.0	224.0	30.0	hidden_state_030	index	598780133376.0	42.0	0.7501930683694333	0.24980693163056666	449.200705536	598.780133376	True
10	siglip_large	SigLIP	0.882045841223916	0.0680619172926438	23.9375	8	12	hidden_state_012	0.7784598502803386	8	0	1.0	True	12.0	hidden_state_012	82029051904.0	256.0	256.0	12.0	hidden_state_012	index	162559688704.0	27.0	0.5046088151249121	0.49539118487508793	82.029051904	162.559688704	True
11	siglip_base	SigLIP	0.8808037971390904	0.08037634205610579	18.375	8	5	hidden_state_005	0.7138824061016524	8	0	1.0	True	5.0	hidden_state_005	15168761856.0	224.0	224.0	5.0	hidden_state_005	index	35416584192.0	15.0	0.42829544977480816	0.5717045502251918	15.168761856	35.416584192	True
12	fastvithd_15b	FastViTHD	0.8762886796331354	0.1793931867460967	15.875	8	42	block_042	0.7218998693685404	8	2	1.0	True	42.0	block_042	471754604544.0	1024.0	1024.0	42.0	block_042	index	486712541184.0	46.0	0.9692674106904815	0.0307325893095185	471.754604544	486.712541184	True
